iter	Passed	Remaining
455	948	1131
456	949	1127
457	950	1124
458	951	1121
459	952	1118
460	953	1115
461	955	1112
462	956	1109
463	958	1106
464	959	1104
465	961	1101
466	962	1098
467	964	1095
468	965	1092
469	966	1089
470	968	1087
471	970	1085
472	971	1082
473	973	1079
474	974	1076
475	975	1073
476	976	1070
477	977	1067
478	978	1064
479	983	1065
480	985	1063
481	986	1060
482	987	1057
483	988	1054
484	990	1051
485	991	1048
486	992	1045
487	993	1042
488	1000	1045
489	1002	1043
490	1005	1042
491	1006	1039
492	1007	1036
493	1011	1035
494	1015	1035
495	1018	1034
496	1019	1031
497	1020	1029
498	1023	1027
499	1026	1026
500	1028	1024
501	1029	1021
502	1031	1018
503	1032	1016
504	1033	1013
505	1038	1013
506	1039	1010
507	1040	1008
508	1042	1005
509	1043	1002
510	1044	999
511	1045	996
512	1047	993
513	1048	991
514	1051	990
515	1052	987
516	1054	985
517	1056	982
518	1057	980
519	1058	977
520	1059	974
521	1061	971
522	1062	968
523	1063	965
524	1067	965
525	1068	963
526	1070	960
527	1071	957
528	1072	955
529	1075	953
530	1078	952
531	1082	951
532	1085	950
533	1087	949
534	1089	947
535	1091	944
536	1092	941
537	1093	939
538	1100	941
539	1104	941
540	1105	938
541	1107	935
542	1108	932
543	1109	930
544	1115	931
545	1123	934
546	1125	931
547	1130	932
548	1133	931
549	1135	928
550	1137	926
551	1139	924
552	1143	923
553	1146	922
554	1149	921
555	1150	918
556	1152	916
557	1153	913
558	1155	911
559	1162	913
560	1166	912
561	1177	917
562	1179	915
563	1180	912
564	1182	910
565	1183	907
566	1189	908
567	1191	906
568	1197	907
569	1199	905
570	1206	906
571	1208	904
572	1210	901
573	1211	899
574	1212	896
575	1214	894
576	1219	893
577	1221	891
578	1222	888
579	1223	886
580	1224	883
581	1225	880
582	1227	877
583	1228	874
584	1229	872
585	1233	871
586	1235	869
587	1236	866
588	1238	864
589	1239	861
590	1240	858
591	1241	855
592	1242	853
593	1244	850
594	1247	849
595	1249	846
596	1250	843
597	1252	841
598	1253	839
599	1254	836
600	1256	833
601	1257	831
602	1258	828
603	1259	825
604	1263	825
605	1266	823
606	1267	820
607	1269	818
608	1270	815
609	1271	813
610	1273	810
611	1274	807
612	1278	807
613	1280	804
614	1281	802
615	1284	800
616	1286	798
617	1288	796
618	1292	795
619	1294	793
620	1296	791
621	1297	788
622	1299	786
623	1300	783
624	1301	780
625	1302	778
626	1303	775
627	1308	775
628	1310	772
629	1311	770
630	1312	767
631	1314	765
632	1315	762
633	1316	760
634	1318	757
635	1322	756
636	1323	754
637	1325	752
638	1327	749
639	1328	747
640	1329	744
641	1330	742
642	1331	739
643	1332	736
644	1334	734
645	1339	733
646	1340	731
647	1341	728
648	1343	726
649	1344	723
650	1345	721
651	1346	718
652	1347	716
653	1348	713
654	1353	713
655	1356	711
656	1358	709
657	1359	706
658	1360	704
659	1361	701
660	1362	698
661	1364	696
662	1368	695
663	1370	693
664	1371	690
665	1372	688
666	1373	685
667	1375	683
668	1376	681
669	1378	678
670	1379	676
671	1385	676
672	1388	674
673	1389	672
674	1390	669
675	1392	667
676	1393	664
677	1394	662
678	1396	660
679	1398	658
680	1399	655
681	1400	653
682	1401	650
683	1403	648
684	1404	645
685	1405	643
686	1410	642
687	1412	640
688	1414	638
689	1416	636
690	1417	634
691	1419	631
692	1420	629
693	1424	628
694	1426	625
695	1427	623
696	1428	620
697	1429	618
698	1430	616
699	1431	613
700	1433	611
701	1434	608
702	1435	606
703	1440	605
704	1442	603
705	1443	601
706	1445	598
707	1446	596
708	1448	594
709	1449	592
710	1450	589
711	1453	588
712	1455	585
713	1456	583
714	1457	581
715	1458	578
716	1460	576
717	1461	573
718	1462	571
719	1467	570
720	1469	568
721	1470	566
722	1472	563
723	1473	561
724	1474	559
725	1475	556
726	1476	554
727	1479	552
728	1482	551
729	1483	548
730	1485	546
731	1487	544
732	1488	542
733	1489	539
734	1490	537
735	1495	536
736	1497	534
737	1499	532
738	1500	529
739	1501	527
740	1502	525
741	1503	522
742	1505	520
743	1506	518
744	1510	517
745	1512	514
746	1513	512
747	1514	510
748	1516	508
749	1517	505
750	1518	503
751	1519	501
752	1520	498
753	1525	497
754	1527	495
755	1529	493
756	1530	491
757	1531	488
758	1532	486
759	1533	484
760	1535	482
761	1536	479
762	1540	478
763	1542	476
764	1543	474
765	1544	471
766	1546	469
767	1550	468
768	1555	467
769	1557	465
770	1559	463
771	1560	460
772	1561	458
773	1563	456
774	1564	454
775	1565	451
776	1569	450
777	1571	448
778	1573	446
779	1575	444
780	1576	442
781	1577	439
782	1579	437
783	1580	435
784	1584	433
785	1586	431
786	1587	429
787	1589	427
788	1590	425
789	1591	423
790	1592	420
791	1594	418
792	1595	416
793	1599	414
794	1600	412
795	1602	410
796	1603	408
797	1604	406
798	1606	404
799	1607	401
800	1608	399
801	1609	397
802	1610	395
803	1615	393
804	1619	392
805	1620	390
806	1621	387
807	1623	385
808	1624	383
809	1625	381
810	1629	379
811	1631	377
812	1632	375
813	1633	373
814	1635	371
815	1636	369
816	1637	366
817	1638	364
818	1639	362
819	1641	360
820	1643	358
821	1645	356
822	1646	354
823	1647	351
824	1648	349
825	1650	347
826	1651	345
827	1652	343
828	1657	341
829	1659	339
830	1660	337
831	1661	335
832	1663	333
833	1665	331
834	1666	329
835	1667	327
836	1668	324
837	1671	323
838	1674	321
839	1677	319
840	1678	317
841	1680	315
842	1685	313
843	1687	311
844	1688	309
845	1689	307
846	1691	305
847	1692	303
848	1693	301
849	1694	299
850	1699	297
851	1701	295
852	1703	293
853	1704	291
854	1705	289
855	1706	287
856	1707	284
857	1709	282
858	1710	280
859	1714	279
860	1715	276
861	1717	274
862	1718	272
863	1720	270
864	1721	268
865	1723	266
866	1724	264
867	1725	262
868	1728	260
869	1730	258
870	1731	256
871	1733	254
872	1735	252
873	1736	250
874	1740	248
875	1742	246
876	1744	244
877	1745	242
878	1747	240
879	1748	238
880	1749	236
881	1750	234
882	1752	232
883	1757	230
884	1759	228
885	1762	226
886	1763	224
887	1764	222
888	1765	220
889	1766	218
890	1770	216
891	1772	214
892	1773	212
893	1774	210
894	1776	208
895	1777	206
896	1778	204
897	1779	202
898	1781	200
899	1782	198
900	1786	196
901	1788	194
902	1790	192
903	1791	190
904	1793	188
905	1794	186
906	1795	184
907	1796	182
908	1800	180
909	1802	178
910	1803	176
911	1806	174
912	1809	172
913	1810	170
914	1811	168
915	1815	166
916	1817	164
917	1819	162
918	1820	160
919	1821	158
920	1823	156
921	1824	154
922	1825	152
923	1826	150
924	1830	148
925	1831	146
926	1833	144
927	1835	142
928	1836	140
929	1837	138
930	1838	136
931	1839	134
932	1840	132
933	1842	130
934	1847	128
935	1849	126
936	1850	124
937	1852	122
938	1853	120
939	1854	118
940	1855	116
941	1856	114
942	1859	112
943	1862	110
944	1864	108
945	1866	106
946	1867	104
947	1868	102
948	1870	100
949	1871	98
950	1875	96
951	1877	94
952	1879	92
953	1880	90
954	1881	88
955	1882	86
956	1883	84
957	1884	82
958	1886	80
959	1890	78
960	1891	76
961	1893	74
962	1894	72
963	1895	70
964	1896	68
965	1898	66
966	1899	64
967	1900	62
968	1901	60
969	1907	58
970	1908	57
971	1909	55
972	1911	53
973	1913	51
974	1914	49
975	1915	47
976	1916	45
977	1922	43
978	1923	41
979	1925	39
980	1926	37
981	1927	35
982	1928	33
983	1929	31
984	1931	29
985	1935	27
986	1937	25
987	1938	23
988	1939	21
989	1941	19
990	1942	17
991	1943	15
992	1944	13
993	1946	11
994	1951	9
995	1953	7
996	1955	5
997	1957	3
998	1958	1
999	1959	0
